id_mutation,nom_station,distance_station_plus_proche
2022-1624281,Stalingrad,207.51597151836404
2022-1624288,Hôtel de Ville,220.04311567717943
2022-1624306,Marie de Miribel,220.21838004693694
2022-1624315,Marie de Miribel,165.6576690931057
2022-1624322,Château Rouge,333.5525508261683
2022-1624326,Pelleport,307.18727044783935
2022-1624327,Rambuteau,372.85027370195274
2022-1624337,Grands Boulevards,182.17930984323993
2022-1624348,La Chapelle,394.6224741332809
2022-1624358,Gare de l'Est,161.8510059434275
2022-1624359,Marx Dormoy,285.7232377930716
2022-1624389,Lamarck-Caulaincourt,112.97359740310034
2022-1624391,Lamarck-Caulaincourt,112.97359740310034
2022-1624400,Adrienne Bolland,65.94046481092589
2022-1624408,Porte de Bagnolet,364.297099545824
2022-1624416,Lamarck-Caulaincourt,255.44844364398267
2022-1624422,Poissonnière,266.0500586573776
2022-1624425,Porte de Clignancourt,154.9829610794908
2022-1624435,Porte des Lilas,24.49703268866844
2022-1624436,Filles du Calvaire,142.7295906268858
2022-1624439,Porte de la Chapelle,363.4047237855992
2022-1624443,Jourdain,596.2999522575844
2022-1624453,Marx Dormoy,65.07909659789671
2022-1624455,Louis Blanc,206.6195566758133
2022-1624458,Saint-Fargeau,61.22675510610988
2022-1624468,Château Rouge,127.72644329948363
2022-1624473,Château-Landon,158.14822298284952
2022-1624479,Porte de Clignancourt,125.56451978828892
2022-1624486,Château Rouge,349.8924837815797
2022-1624519,Marie de Miribel,476.1923369379165
2022-1624520,Pelleport,277.7433545376056
2022-1624532,Porte de Saint-Ouen,142.93465248351177
2022-1624536,Strasbourg-Saint-Denis,177.37787402616888
2022-1624545,Crimée,80.85166100836287
2022-1624554,Riquet,389.17252395574724
2022-1624559,Marx Dormoy,79.10427969052041
2022-1624563,Louis Blanc,82.0579824393808
2022-1624566,Place de Clichy,134.56615001385995
2022-1624571,Marx Dormoy,372.98923875627617
2022-1624585,Télégraphe,96.96825496094095
2022-1624586,Stalingrad,336.07813826121026
2022-1624587,Corentin Cariou,417.5744450737433
2022-1624590,Marx Dormoy,154.59415459207534
2022-1624597,Marx Dormoy,60.22001095820208
2022-1624599,Gare de l'Est,291.48151742675515
2022-1624609,Villiers,246.81593824215113
2022-1624614,Cadet,204.48394587658416
2022-1624618,Place des Fêtes,151.78988784085092
2022-1624619,La Fourche,143.52161350233612
2022-1624622,Porte de Bagnolet,180.0562254616032
2022-1624633,La Chapelle,137.07190927358542
2022-1624637,Blanche,142.38596384254203
2022-1624647,Saint-Augustin,132.36290827562019
2022-1624648,Corentin Cariou,240.16976971154597
2022-1624649,Maraîchers,472.5291342232842
2022-1624657,Saint-Georges,220.42722290496602
2022-1624658,Saint-Fargeau,96.89072759137257
2022-1624664,Pigalle,65.26265460010637
2022-1624665,Marx Dormoy,314.1250587221898
2022-1624666,Bonne Nouvelle,246.23552950417934
2022-1624667,Colonel Fabien,99.20695161005918
2022-1624676,La Chapelle,445.10818396556124
2022-1624691,Marx Dormoy,40.69985700851776
2022-1624696,Marx Dormoy,122.94934431599103
2022-1624711,Porte de Bagnolet,65.22127346148876
2022-1624715,Pyrénées,99.70333865143927
2022-1624716,Saint-Sébastien-Froissart,58.767252228636295
2022-1624723,Pelleport,374.5684442795435
2022-1624731,Château Rouge,334.63595577577956
2022-1624734,Guy Môquet,233.42560504343064
2022-1624747,Arts et Métiers,128.22712557174404
2022-1624754,Marx Dormoy,293.3999895184986
2022-1624762,Porte de Saint-Ouen,102.01496753146174
2022-1624767,Marcadet-Poissonniers,167.8917197475773
2022-1624781,Corentin Cariou,263.1024310196908
2022-1624782,Porte de Vincennes,219.74977114628433
2022-1624799,Épinettes - Pouchet,238.0744958554202
2022-1624810,Saint-Sébastien-Froissart,335.95851452524147
